,0
0,
1,
2,
3,
4,424093.0
5,
6,
7,
8,
9,
10,
11,529907.0
12,
13,569715.0
14,574615.0
15,
16,
17,597612.0
18,628452.0
19,
20,
21,
22,
23,
24,
25,
26,
27,480589.0
28,488466.0
29,481296.0
30,
31,
32,
33,
34,572097.0
35,
36,586107.0
37,583528.0
38,
39,484479.0
40,604731.0
41,645928.0
42,649974.0
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,511302.0
54,483943.0
55,483013.0
56,436126.0
57,456312.0
58,
59,
60,
61,
62,
63,
64,
65,570389.0
66,626456.0
67,624224.0
68,611965.0
69,
70,627252.0
71,488594.0
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,580976.0
88,612415.0
89,631387.0
90,
91,
92,
93,641142.0
94,653572.0
95,690611.0
96,672151.0
97,
98,
99,
100,
101,
102,
103,500517.0
104,483303.0
105,492862.0
106,
107,
108,446876.0
109,
110,
111,
112,
113,
114,
115,
116,
117,628200.0
118,607858.0
119,684895.0
120,699973.0
121,
122,
123,
124,
125,
126,
127,
128,520056.0
129,504104.0
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,601439.0
141,623026.0
142,
143,
144,616851.0
145,633553.0
146,
147,646846.0
148,
149,651987.0
150,
151,
152,
153,
154,522032.0
155,
156,
157,
158,498009.0
159,479498.0
160,435441.0
161,433282.0
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,581204.0
173,660299.0
174,699476.0
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,473554.0
185,
186,
187,
188,
189,
190,
191,
192,592608.0
193,
194,
195,
196,
197,
198,629405.0
199,
200,
201,
202,
203,
204,
205,
206,
207,496603.0
208,
209,488198.0
210,
211,474889.0
212,438483.0
213,389097.0
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,
224,
225,
226,590007.0
227,621299.0
228,671362.0
229,647655.0
230,644707.0
231,
232,
233,
234,470256.0
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,604305.0
246,643473.0
247,
248,
249,667721.0
250,642967.0
251,
252,
253,
254,
255,
256,
257,
258,520932.0
259,502465.0
260,476897.0
261,476708.0
262,
263,
264,458243.0
265,406305.0
266,
267,
268,
269,
270,
271,
272,
273,
274,
275,570637.0
276,632359.0
277,609955.0
278,650064.0
279,
280,
281,632362.0
282,
283,483435.0
284,
285,
286,
287,
288,
289,
290,
291,
292,
293,
294,
295,
296,570902.0
297,587024.0
298,615545.0
299,
